Country,Admin 1,Admin 2,Market Name,Commodity,Price Type,Price Date,Collection Frequency,Price,Unit,Currency,Data Source,Trend,Pewi,ALPS Phase,Data Type,Upper (95%) CI,Lower (95%) CI,Forecast Methodology
Kenya,Coast,Mombasa,Bangladesh (Mombasa),Maize,Retail,15/04/2021,Weekly,45.000000,KG,KES,WFP,,,,Aggregated,,,
Kenya,Coast,Mombasa,Bangladesh (Mombasa),Maize,Retail,15/08/2021,Weekly,51.666666,KG,KES,WFP,,,,Aggregated,,,
Kenya,Coast,Mombasa,Bangladesh (Mombasa),Maize,Retail,15/09/2021,Weekly,50.000000,KG,KES,WFP,,,,Aggregated,,,
Kenya,Coast,Mombasa,Bangladesh (Mombasa),Maize,Retail,15/10/2021,Weekly,55.000000,KG,KES,WFP,,,,Aggregated,,,
Kenya,Coast,Mombasa,Bangladesh (Mombasa),Maize,Retail,15/11/2021,Weekly,52.500000,KG,KES,WFP,,,,Aggregated,,,
Kenya,North Eastern,Garissa,Dagahaley (Daadab),Maize,Retail,15/01/2021,Weekly,46.666600,KG,KES,WFP,,,,Aggregated,,,
Kenya,North Eastern,Garissa,Dagahaley (Daadab),Maize,Retail,15/03/2021,Weekly,49.761875,KG,KES,WFP,,,,Aggregated,,,
Kenya,North Eastern,Garissa,Dagahaley (Daadab),Maize,Retail,15/04/2021,Weekly,48.034150,KG,KES,WFP,,,,Aggregated,,,
Kenya,North Eastern,Garissa,Dagahaley (Daadab),Maize,Retail,15/05/2021,Weekly,49.569890,KG,KES,WFP,,,,Aggregated,,,
Kenya,North Eastern,Garissa,Dagahaley (Daadab),Maize,Retail,15/06/2021,Weekly,49.243818,KG,KES,WFP,,,,Aggregated,,,
Kenya,North Eastern,Garissa,Dagahaley (Daadab),Maize,Retail,15/07/2021,Weekly,45.000000,KG,KES,WFP,,,,Aggregated,,,
Kenya,North Eastern,Garissa,Dagahaley (Daadab),Maize,Retail,15/08/2021,Weekly,76.302420,KG,KES,WFP,,,,Aggregated,,,
Kenya,North Eastern,Garissa,Dagahaley (Daadab),Maize,Retail,15/09/2021,Weekly,80.000000,KG,KES,WFP,,,,Aggregated,,,
Kenya,North Eastern,Garissa,Dagahaley (Daadab),Maize,Retail,15/10/2021,Weekly,57.187500,KG,KES,WFP,,,,Aggregated,,,
Kenya,North Eastern,Garissa,Dagahaley (Daadab),Maize,Retail,15/11/2021,Weekly,50.000000,KG,KES,WFP,,,,Aggregated,,,
Kenya,North Eastern,Garissa,Dagahaley (Daadab),Maize,Retail,15/12/2021,Weekly,76.666666,KG,KES,WFP,,,,Aggregated,,,
Kenya,North Eastern,Garissa,Dagahaley (Daadab),Maize,Retail,15/06/2023,Weekly,60.000000,KG,KES,WFP,,,,Aggregated,,,
Kenya,North Eastern,Garissa,Dagahaley (Daadab),Maize,Retail,15/07/2023,Weekly,60.000000,KG,KES,WFP,,,,Aggregated,,,
Kenya,North Eastern,Garissa,Dagahaley (Daadab),Maize,Retail,15/08/2023,Weekly,120.000000,KG,KES,WFP,,,,Aggregated,,,
Kenya,North Eastern,Garissa,Dagahaley (Daadab),Maize,Retail,15/01/2024,Weekly,100.000000,KG,KES,WFP,,,,Aggregated,,,
Kenya,North Eastern,Garissa,Dagahaley (Daadab),Maize,Retail,15/02/2024,Weekly,85.333330,KG,KES,WFP,,,,Aggregated,,,
Kenya,North Eastern,Garissa,Dagahaley (Daadab),Maize,Retail,15/03/2024,Weekly,94.411767,KG,KES,WFP,,,,Aggregated,,,
Kenya,North Eastern,Garissa,Dagahaley (Daadab),Maize,Retail,15/08/2024,Weekly,97.500000,KG,KES,WFP,,,,Aggregated,,,
Kenya,North Eastern,Garissa,Dagahaley (Daadab),Maize,Retail,15/09/2025,Weekly,60.000000,KG,KES,WFP,,,,Aggregated,,,
Kenya,North Eastern,Garissa,Dagahaley (Daadab),Maize,Retail,15/10/2025,Weekly,85.000000,KG,KES,WFP,,,,Aggregated,,,
Kenya,North Eastern,Garissa,Dagahaley (Daadab),Maize,Retail,15/11/2025,Weekly,60.000000,KG,KES,WFP,,,,Aggregated,,,
Kenya,North Eastern,Garissa,Dagahaley (Daadab),Maize,Retail,15/12/2025,Weekly,69.0079,KG,KES,WFP,,,,Forecast,90.9747,47.0411,"AR(1),I(0),MA(2)"
Kenya,North Eastern,Garissa,Dagahaley (Daadab),Maize,Retail,15/01/2026,Weekly,69.0852,KG,KES,WFP,,,,Forecast,91.0520,47.1184,"AR(1),I(0),MA(2)"
Kenya,North Eastern,Garissa,Dagahaley (Daadab),Maize,Retail,15/02/2026,Weekly,69.1565,KG,KES,WFP,,,,Forecast,91.1233,47.1897,"AR(1),I(0),MA(2)"
Kenya,North Eastern,Garissa,Dagahaley (Daadab),Maize,Retail,15/03/2026,Weekly,69.2223,KG,KES,WFP,,,,Forecast,91.1891,47.2555,"AR(1),I(0),MA(2)"
