Month,County,Fatalities,Events
2015-01,Baringo,1.0,1.0
2015-01,Bomet,0.0,2.0
2015-01,Bungoma,1.0,1.0
2015-01,Busia,0.0,1.0
2015-01,Elgeyo Marakwet,0.0,0.0
2015-01,Embu,0.0,0.0
2015-01,Garissa,0.0,0.0
2015-01,Homa Bay,2.0,2.0
2015-01,Isiolo,0.0,0.0
2015-01,Kajiado,1.0,1.0
2015-01,Kakamega,0.0,0.0
2015-01,Kericho,0.0,0.0
2015-01,Kiambu,0.0,0.0
2015-01,Kilifi,0.0,1.0
2015-01,Kirinyaga,0.0,0.0
2015-01,Kisii,0.0,0.0
2015-01,Kisumu,0.0,1.0
2015-01,Kitui,0.0,1.0
2015-01,Kwale,0.0,1.0
2015-01,Laikipia,0.0,1.0
2015-01,Lamu,9.0,1.0
2015-01,Machakos,0.0,3.0
2015-01,Makueni,0.0,0.0
2015-01,Mandera,0.0,1.0
2015-01,Marsabit,0.0,4.0
2015-01,Meru,0.0,1.0
2015-01,Migori,0.0,0.0
2015-01,Mombasa,2.0,3.0
2015-01,Muranga,0.0,1.0
2015-01,Nairobi,8.0,11.0
2015-01,Nakuru,3.0,3.0
2015-01,Nandi,0.0,2.0
2015-01,Narok,2.0,6.0
2015-01,Nyamira,0.0,0.0
2015-01,Nyandarua,0.0,0.0
2015-01,Nyeri,0.0,0.0
2015-01,Samburu,0.0,0.0
2015-01,Siaya,0.0,0.0
2015-01,Taita Taveta,0.0,0.0
2015-01,Tana River,0.0,0.0
2015-01,Tharaka-Nithi,0.0,0.0
2015-01,Trans Nzoia,0.0,0.0
2015-01,Turkana,4.0,1.0
2015-01,Uasin Gishu,0.0,0.0
2015-01,Vihiga,0.0,0.0
2015-01,Wajir,0.0,1.0
2015-01,West Pokot,1.0,1.0
2015-02,Baringo,1.0,1.0
2015-02,Bomet,0.0,0.0
2015-02,Bungoma,1.0,1.0
2015-02,Busia,0.0,1.0
2015-02,Elgeyo Marakwet,0.0,1.0
2015-02,Embu,0.0,1.0
2015-02,Garissa,0.0,0.0
2015-02,Homa Bay,0.0,0.0
2015-02,Isiolo,0.0,0.0
2015-02,Kajiado,0.0,0.0
2015-02,Kakamega,0.0,2.0
2015-02,Kericho,0.0,0.0
2015-02,Kiambu,0.0,2.0
2015-02,Kilifi,0.0,1.0
2015-02,Kirinyaga,0.0,0.0
2015-02,Kisii,0.0,1.0
2015-02,Kisumu,0.0,0.0
2015-02,Kitui,0.0,3.0
2015-02,Kwale,0.0,1.0
2015-02,Laikipia,0.0,2.0
2015-02,Lamu,0.0,0.0
