Area,From,1,2,3,3+,4,5,all,target_ipc3plus_pct,target_crisis_binary,rain_lag1,usdprice,MPI,Headcount Ratio,Intensity of Deprivation,Vulnerable to Poverty,In Severe Poverty
Baringo,2019-08-01,0.3,0.5,0.15,0.2,0.05,0.0,1.0,0.2,1,75.85066316876544,1.22,0.2159,46.8917,46.0451,25.6884,17.5521
Baringo,2020-02-01,0.7,0.25,0.05,0.05,0.0,0.0,1.0,0.05,0,97.33246029160495,0.785,0.2159,46.8917,46.0451,25.6884,17.5521
Baringo,2020-04-01,0.85,0.15,0.0,0.0,0.0,0.0,1.0,0.0,0,202.54687229135803,0.815,0.2159,46.8917,46.0451,25.6884,17.5521
Baringo,2020-08-01,0.8,0.15,0.05,0.05,0.0,0.0,1.0,0.05,0,94.9591113111111,0.38,0.2159,46.8917,46.0451,25.6884,17.5521
Baringo,2020-10-01,0.8,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0,97.03227798996667,0.7050000000000001,0.2159,46.8917,46.0451,25.6884,17.5521
Baringo,2021-02-01,0.6,0.3,0.1,0.1,0.0,0.0,1.0,0.1,0,44.827324140246915,48.17857142857143,0.2159,46.8917,46.0451,25.6884,17.5521
Baringo,2021-03-01,0.5,0.35,0.15,0.15,0.0,0.0,1.0,0.15,1,56.34331354567902,49.625,0.2159,46.8917,46.0451,25.6884,17.5521
Baringo,2021-07-01,0.5,0.3,0.15,0.2,0.05,0.0,1.0,0.2,1,53.734714635432105,28.830761904761907,0.2159,46.8917,46.0451,25.6884,17.5521
Baringo,2021-11-01,0.55,0.35,0.1,0.1,0.0,0.0,1.0,0.1,0,84.24981218518519,54.146666666666675,0.2159,46.8917,46.0451,25.6884,17.5521
Baringo,2022-02-01,0.3,0.35,0.3,0.35,0.05,0.0,1.0,0.35,1,63.963818892469135,21.350526315789477,0.2159,46.8917,46.0451,25.6884,17.5521
Baringo,2022-03-01,0.25,0.35,0.35,0.4,0.05,0.0,1.0,0.4,1,96.05550106296296,30.25,0.2159,46.8917,46.0451,25.6884,17.5521
Baringo,2022-07-01,0.3,0.3,0.35,0.4,0.05,0.0,1.0,0.4,1,55.96595948814815,37.76,0.2159,46.8917,46.0451,25.6884,17.5521
Baringo,2022-10-01,0.3,0.3,0.3,0.4,0.1,0.0,1.0,0.4,1,80.70745559158395,45.68,0.2159,46.8917,46.0451,25.6884,17.5521
Baringo,2023-02-01,0.4,0.3,0.3,0.3,0.0,0.0,1.0,0.3,1,19.31560272259259,41.723333333333336,0.2159,46.8917,46.0451,25.6884,17.5521
Baringo,2023-03-01,0.3,0.4,0.25,0.3,0.05,0.0,1.0,0.3,1,11.960828204814815,59.10999999999999,0.2159,46.8917,46.0451,25.6884,17.5521
Baringo,2023-07-01,0.5,0.35,0.1,0.15,0.05,0.0,1.0,0.15,1,90.98213764217284,61.43000000000001,0.2159,46.8917,46.0451,25.6884,17.5521
Garissa,2020-08-01,0.5,0.4,0.1,0.1,0.0,0.0,1.0,0.1,0,94.9591113111111,0.63,0.291,55.2501,52.6725,24.424,30.3679
