County,Month,maize_price_per_kg,price_lag1,price_lag2,price_pct_change
Baringo,2015-01,47.0,0.0,0.0,0.0
Baringo,2015-02,47.0,47.0,0.0,0.0
Baringo,2015-03,38.0,47.0,47.0,-0.19148936170212771
Baringo,2015-04,42.0,38.0,47.0,0.10526315789473695
Baringo,2015-05,45.0,42.0,38.0,0.0714285714285714
Baringo,2015-06,45.0,45.0,42.0,0.0
Baringo,2015-07,44.0,45.0,45.0,-0.022222222222222254
Baringo,2015-08,44.0,44.0,45.0,0.0
Baringo,2015-09,44.0,44.0,44.0,0.0
Baringo,2015-10,44.0,44.0,44.0,0.0
Baringo,2015-11,39.0,44.0,44.0,-0.11363636363636365
Baringo,2015-12,39.0,39.0,44.0,0.0
Baringo,2016-01,41.0,39.0,39.0,0.05128205128205132
Baringo,2016-02,39.0,41.0,39.0,-0.04878048780487809
Baringo,2016-03,40.0,39.0,41.0,0.02564102564102555
Baringo,2016-04,40.0,40.0,39.0,0.0
Baringo,2016-05,43.0,40.0,40.0,0.07499999999999996
Baringo,2016-06,43.0,43.0,40.0,0.0
Baringo,2016-07,41.0,43.0,43.0,-0.046511627906976716
Baringo,2016-08,41.0,41.0,43.0,0.0
Baringo,2016-09,37.0,41.0,41.0,-0.09756097560975607
Baringo,2016-10,43.0,37.0,41.0,0.16216216216216206
Baringo,2016-11,43.0,43.0,37.0,0.0
Baringo,2016-12,43.0,43.0,43.0,0.0
Baringo,2017-01,43.0,43.0,43.0,0.0
Baringo,2017-02,52.0,43.0,43.0,0.20930232558139528
Baringo,2017-03,57.0,52.0,43.0,0.09615384615384626
Baringo,2017-04,62.0,57.0,52.0,0.08771929824561409
Baringo,2017-05,62.0,62.0,57.0,0.0
Baringo,2017-06,81.0,62.0,62.0,0.30645161290322576
Baringo,2017-07,81.0,81.0,62.0,0.0
Baringo,2017-08,81.0,81.0,81.0,0.0
Baringo,2017-09,53.0,81.0,81.0,-0.345679012345679
Baringo,2017-10,53.0,53.0,81.0,0.0
Baringo,2017-11,50.0,53.0,53.0,-0.05660377358490565
Baringo,2017-12,50.0,50.0,53.0,0.0
Baringo,2018-01,52.0,50.0,50.0,0.040000000000000036
Baringo,2018-02,53.0,52.0,50.0,0.019230769230769162
Baringo,2018-03,52.0,53.0,52.0,-0.018867924528301883
Baringo,2018-04,43.0,52.0,53.0,-0.17307692307692313
Baringo,2018-05,44.0,43.0,52.0,0.023255813953488413
Baringo,2018-06,40.0,44.0,43.0,-0.09090909090909094
Baringo,2018-07,40.0,40.0,44.0,0.0
Baringo,2018-08,38.0,40.0,40.0,-0.050000000000000044
Baringo,2018-09,36.0,38.0,40.0,-0.052631578947368474
Baringo,2018-10,36.0,36.0,38.0,0.0
Baringo,2018-11,35.0,36.0,36.0,-0.02777777777777779
Baringo,2018-12,36.0,35.0,36.0,0.02857142857142847
Baringo,2019-01,36.0,36.0,35.0,0.0
Baringo,2019-02,36.0,36.0,36.0,0.0
Baringo,2019-03,36.0,36.0,36.0,0.0
Baringo,2019-04,44.0,36.0,36.0,0.22222222222222232
Baringo,2019-05,44.0,44.0,36.0,0.0
Baringo,2019-06,51.0,44.0,44.0,0.15909090909090917
Baringo,2019-07,55.7,51.0,44.0,0.09215686274509816
Baringo,2019-08,55.7,55.7,51.0,0.0
Baringo,2019-09,46.5,55.7,55.7,-0.1651705565529623
Baringo,2019-10,44.0,46.5,55.7,-0.053763440860215006
Baringo,2019-11,44.0,44.0,46.5,0.0
Baringo,2019-12,46.0,44.0,44.0,0.045454545454545414
Baringo,2020-01,46.0,46.0,44.0,0.0
Baringo,2020-02,47.3,46.0,46.0,0.02826086956521734
Baringo,2020-03,47.3,47.3,46.0,0.0
Baringo,2020-04,51.7,47.3,47.3,0.09302325581395365
Baringo,2020-05,52.0,51.7,47.3,0.005802707930367523
Baringo,2020-06,51.0,52.0,51.7,-0.019230769230769273
Baringo,2020-07,51.0,51.0,52.0,0.0
Baringo,2020-08,41.0,51.0,51.0,-0.196078431372549
Baringo,2020-09,39.0,41.0,51.0,-0.04878048780487809
