,County,Month,IPC,in_Phase3+
0,Baringo,2011-01,1.5,0
1,Baringo,2011-04,1.5,0
2,Baringo,2011-07,1.7391304347826086,1
3,Baringo,2011-10,1.826086956521739,1
4,Baringo,2012-01,1.7391304347826086,0
5,Baringo,2012-04,1.826086956521739,1
6,Baringo,2012-07,1.7391304347826086,0
7,Baringo,2012-10,1.7391304347826086,0
8,Baringo,2013-01,1.7391304347826086,0
9,Baringo,2013-04,1.7391304347826086,0
10,Baringo,2013-07,1.7391304347826086,0
11,Baringo,2013-10,1.7391304347826086,0
12,Baringo,2014-01,1.7391304347826086,0
13,Baringo,2014-04,1.7391304347826086,0
14,Baringo,2014-07,1.565217391304348,0
15,Baringo,2014-10,1.4782608695652173,0
16,Baringo,2015-01,1.2173913043478262,0
17,Baringo,2015-04,1.1304347826086956,0
18,Baringo,2015-07,1.173913043478261,0
19,Baringo,2015-10,1.1304347826086956,0
20,Baringo,2016-02,1.0869565217391304,0
21,Baringo,2016-06,1.2,0
22,Baringo,2016-10,1.2,0
23,Baringo,2017-02,2.2,1
24,Baringo,2017-06,2.1,1
25,Baringo,2017-10,1.3,0
26,Baringo,2018-02,1.2,0
27,Baringo,2018-06,1.0,0
28,Baringo,2018-12,1.1,0
29,Baringo,2019-02,1.2,0
30,Baringo,2019-06,1.7,1
31,Baringo,2019-10,1.4,1
32,Baringo,2020-02,1.3,0
33,Baringo,2020-06,1.2,0
34,Baringo,2020-10,1.2,0
35,Baringo,2021-02,1.3,0
36,Baringo,2021-06,1.5,0
37,Baringo,2021-10,1.7,1
38,Baringo,2022-02,2.1,1
39,Baringo,2022-06,2.1,1
40,Baringo,2022-10,2.1,1
41,Baringo,2023-02,1.8,1
42,Baringo,2023-06,1.8,1
43,Baringo,2023-10,1.6,0
44,Baringo,2024-02,1.6,0
45,Baringo,2024-06,1.6,0
46,Baringo,2024-10,1.6,0
47,Baringo,2025-10,2.0,0
48,Bomet,2011-01,1.0,0
49,Bomet,2011-04,1.0,0
50,Bomet,2011-07,1.0,0
51,Bomet,2011-10,1.0,0
52,Bomet,2012-01,1.0,0
53,Bomet,2012-04,1.0,0
54,Bomet,2012-07,1.0,0
55,Bomet,2012-10,1.0,0
56,Bomet,2013-01,1.0,0
57,Bomet,2013-04,1.0,0
58,Bomet,2013-07,1.0,0
59,Bomet,2013-10,1.0,0
60,Bomet,2014-01,1.0,0
61,Bomet,2014-04,1.0,0
62,Bomet,2014-07,1.0,0
63,Bomet,2014-10,1.0,0
64,Bomet,2015-01,1.0,0
65,Bomet,2015-04,1.0,0
66,Bomet,2015-07,1.0,0
67,Bomet,2015-10,1.0,0
68,Bomet,2016-02,1.0,0
69,Bomet,2016-06,1.0,0
70,Bomet,2016-10,1.0,0
71,Bomet,2017-02,1.0,0
72,Bomet,2017-06,1.0,0
73,Bomet,2017-10,1.0,0
74,Bomet,2018-02,1.0,0
75,Bomet,2018-06,1.0,0
76,Bomet,2018-12,1.0,0
77,Bomet,2019-02,1.0,0
78,Bomet,2019-06,1.0,0
79,Bomet,2019-10,1.0,0
80,Bomet,2020-02,1.0,0
81,Bomet,2020-06,1.0,0
82,Bomet,2020-10,1.0,0
83,Bomet,2021-02,1.0,0
84,Bomet,2021-06,1.0,0
85,Bomet,2021-10,1.0,0
86,Bomet,2022-02,1.0,0
87,Bomet,2022-06,1.0,0
88,Bomet,2022-10,1.0,0
89,Bomet,2023-02,1.0,0
90,Bomet,2023-06,1.0,0
91,Bomet,2023-10,1.0,0
92,Bomet,2024-02,1.0,0
93,Bomet,2024-06,1.0,0
94,Bomet,2024-10,1.0,0
95,Bomet,2025-10,1.0,0
96,Bungoma,2011-07,1.0,0
97,Bungoma,2011-10,1.0,0
98,Bungoma,2012-01,1.0,0
99,Bungoma,2012-04,1.0,0
100,Bungoma,2012-07,1.0,0
101,Bungoma,2012-10,1.0,0
102,Bungoma,2013-01,1.0,0
103,Bungoma,2013-04,1.0,0
104,Bungoma,2013-07,1.0,0
105,Bungoma,2013-10,1.0,0
106,Bungoma,2014-01,1.0,0
107,Bungoma,2014-04,1.0,0
108,Bungoma,2014-07,1.0,0
109,Bungoma,2014-10,1.0,0
110,Bungoma,2015-01,1.0,0
111,Bungoma,2015-04,1.0,0
112,Bungoma,2015-07,1.0,0
113,Bungoma,2015-10,1.0,0
114,Bungoma,2016-02,1.0,0
115,Bungoma,2016-06,1.0,0
116,Bungoma,2016-10,1.0,0
117,Bungoma,2017-02,1.0,0
118,Bungoma,2017-06,1.0,0
119,Bungoma,2017-10,1.0,0
