county,PCODE,climate_zone,year_month,year,month,rainfall_mm,lta_mm,anomaly_mm,pct_of_normal
Mombasa,KE001,coastal,2018-01,2018,1,34.6,30.0,4.6,115.3
Mombasa,KE001,coastal,2018-02,2018,2,26.82,30.0,-3.18,89.4
Mombasa,KE001,coastal,2018-03,2018,3,40.17,60.0,-19.83,67.0
Mombasa,KE001,coastal,2018-04,2018,4,120.52,180.0,-59.48,67.0
Mombasa,KE001,coastal,2018-05,2018,5,212.64,160.0,52.64,132.9
Mombasa,KE001,coastal,2018-06,2018,6,102.23,80.0,22.23,127.8
Mombasa,KE001,coastal,2018-07,2018,7,31.02,40.0,-8.98,77.6
Mombasa,KE001,coastal,2018-08,2018,8,46.96,40.0,6.96,117.4
Mombasa,KE001,coastal,2018-09,2018,9,52.2,50.0,2.2,104.4
Mombasa,KE001,coastal,2018-10,2018,10,36.8,110.0,-73.2,33.5
Mombasa,KE001,coastal,2018-11,2018,11,74.49,140.0,-65.51,53.2
Mombasa,KE001,coastal,2018-12,2018,12,75.63,80.0,-4.37,94.5
Mombasa,KE001,coastal,2019-01,2019,1,49.18,30.0,19.18,163.9
Mombasa,KE001,coastal,2019-02,2019,2,25.84,30.0,-4.16,86.1
Mombasa,KE001,coastal,2019-03,2019,3,41.41,60.0,-18.59,69.0
Mombasa,KE001,coastal,2019-04,2019,4,164.03,180.0,-15.97,91.1
Mombasa,KE001,coastal,2019-05,2019,5,107.69,160.0,-52.31,67.3
Mombasa,KE001,coastal,2019-06,2019,6,67.01,80.0,-12.99,83.8
Mombasa,KE001,coastal,2019-07,2019,7,37.66,40.0,-2.34,94.1
Mombasa,KE001,coastal,2019-08,2019,8,23.67,40.0,-16.33,59.2
Mombasa,KE001,coastal,2019-09,2019,9,65.21,50.0,15.21,130.4
Mombasa,KE001,coastal,2019-10,2019,10,111.23,110.0,1.23,101.1
Mombasa,KE001,coastal,2019-11,2019,11,134.2,140.0,-5.8,95.9
Mombasa,KE001,coastal,2019-12,2019,12,151.75,80.0,71.75,189.7
Mombasa,KE001,coastal,2020-01,2020,1,37.92,30.0,7.92,126.4
Mombasa,KE001,coastal,2020-02,2020,2,30.45,30.0,0.45,101.5
Mombasa,KE001,coastal,2020-03,2020,3,33.57,60.0,-26.43,56.0
Mombasa,KE001,coastal,2020-04,2020,4,93.1,180.0,-86.9,51.7
Mombasa,KE001,coastal,2020-05,2020,5,77.22,160.0,-82.78,48.3
Mombasa,KE001,coastal,2020-06,2020,6,113.65,80.0,33.65,142.1
Mombasa,KE001,coastal,2020-07,2020,7,43.14,40.0,3.14,107.8
Mombasa,KE001,coastal,2020-08,2020,8,32.18,40.0,-7.82,80.4
Mombasa,KE001,coastal,2020-09,2020,9,35.35,50.0,-14.65,70.7
Mombasa,KE001,coastal,2020-10,2020,10,129.92,110.0,19.92,118.1
Mombasa,KE001,coastal,2020-11,2020,11,193.08,140.0,53.08,137.9
Mombasa,KE001,coastal,2020-12,2020,12,106.41,80.0,26.41,133.0
Mombasa,KE001,coastal,2021-01,2021,1,19.69,30.0,-10.31,65.6
Mombasa,KE001,coastal,2021-02,2021,2,24.94,30.0,-5.06,83.1
Mombasa,KE001,coastal,2021-03,2021,3,31.04,60.0,-28.96,51.7
Mombasa,KE001,coastal,2021-04,2021,4,105.67,180.0,-74.33,58.7
Mombasa,KE001,coastal,2021-05,2021,5,139.3,160.0,-20.7,87.1
Mombasa,KE001,coastal,2021-06,2021,6,126.29,80.0,46.29,157.9
Mombasa,KE001,coastal,2021-07,2021,7,43.78,40.0,3.78,109.4
Mombasa,KE001,coastal,2021-08,2021,8,28.69,40.0,-11.31,71.7
Mombasa,KE001,coastal,2021-09,2021,9,46.64,50.0,-3.36,93.3
Mombasa,KE001,coastal,2021-10,2021,10,126.82,110.0,16.82,115.3
Mombasa,KE001,coastal,2021-11,2021,11,93.39,140.0,-46.61,66.7
Mombasa,KE001,coastal,2021-12,2021,12,45.42,80.0,-34.58,56.8
Mombasa,KE001,coastal,2022-01,2022,1,15.03,30.0,-14.97,50.1
Mombasa,KE001,coastal,2022-02,2022,2,19.01,30.0,-10.99,63.4
Mombasa,KE001,coastal,2022-03,2022,3,19.17,60.0,-40.83,32.0
Mombasa,KE001,coastal,2022-04,2022,4,66.05,180.0,-113.95,36.7
Mombasa,KE001,coastal,2022-05,2022,5,103.64,160.0,-56.36,64.8
Mombasa,KE001,coastal,2022-06,2022,6,70.88,80.0,-9.12,88.6
Mombasa,KE001,coastal,2022-07,2022,7,32.31,40.0,-7.69,80.8
Mombasa,KE001,coastal,2022-08,2022,8,45.13,40.0,5.13,112.8
Mombasa,KE001,coastal,2022-09,2022,9,28.65,50.0,-21.35,57.3
Mombasa,KE001,coastal,2022-10,2022,10,56.25,110.0,-53.75,51.1
Mombasa,KE001,coastal,2022-11,2022,11,92.59,140.0,-47.41,66.1
Mombasa,KE001,coastal,2022-12,2022,12,52.18,80.0,-27.82,65.2
Mombasa,KE001,coastal,2023-01,2023,1,9.67,30.0,-20.33,32.2
Mombasa,KE001,coastal,2023-02,2023,2,15.45,30.0,-14.55,51.5
Mombasa,KE001,coastal,2023-03,2023,3,41.43,60.0,-18.57,69.0
Mombasa,KE001,coastal,2023-04,2023,4,156.24,180.0,-23.76,86.8
Mombasa,KE001,coastal,2023-05,2023,5,131.1,160.0,-28.9,81.9
Mombasa,KE001,coastal,2023-06,2023,6,66.1,80.0,-13.9,82.6
Mombasa,KE001,coastal,2023-07,2023,7,13.65,40.0,-26.35,34.1
Mombasa,KE001,coastal,2023-08,2023,8,33.71,40.0,-6.29,84.3
Mombasa,KE001,coastal,2023-09,2023,9,43.66,50.0,-6.34,87.3
Mombasa,KE001,coastal,2023-10,2023,10,523.29,110.0,413.29,475.7
Mombasa,KE001,coastal,2023-11,2023,11,256.88,140.0,116.88,183.5
Mombasa,KE001,coastal,2023-12,2023,12,179.58,80.0,99.58,224.5
Mombasa,KE001,coastal,2024-01,2024,1,48.34,30.0,18.34,161.1
Mombasa,KE001,coastal,2024-02,2024,2,41.93,30.0,11.93,139.8
Mombasa,KE001,coastal,2024-03,2024,3,101.07,60.0,41.07,168.4
Mombasa,KE001,coastal,2024-04,2024,4,94.35,180.0,-85.65,52.4
Mombasa,KE001,coastal,2024-05,2024,5,102.67,160.0,-57.33,64.2
Mombasa,KE001,coastal,2024-06,2024,6,59.43,80.0,-20.57,74.3
Mombasa,KE001,coastal,2024-07,2024,7,18.49,40.0,-21.51,46.2
Mombasa,KE001,coastal,2024-08,2024,8,38.94,40.0,-1.06,97.4
Mombasa,KE001,coastal,2024-09,2024,9,31.6,50.0,-18.4,63.2
Mombasa,KE001,coastal,2024-10,2024,10,163.31,110.0,53.31,148.5
Mombasa,KE001,coastal,2024-11,2024,11,82.96,140.0,-57.04,59.3
Mombasa,KE001,coastal,2024-12,2024,12,58.2,80.0,-21.8,72.8
Mombasa,KE001,coastal,2025-01,2025,1,39.0,30.0,9.0,130.0
Mombasa,KE001,coastal,2025-02,2025,2,16.32,30.0,-13.68,54.4
Mombasa,KE001,coastal,2025-03,2025,3,25.85,60.0,-34.15,43.1
Mombasa,KE001,coastal,2025-04,2025,4,176.32,180.0,-3.68,98.0
Mombasa,KE001,coastal,2025-05,2025,5,161.5,160.0,1.5,100.9
Mombasa,KE001,coastal,2025-06,2025,6,102.78,80.0,22.78,128.5
Mombasa,KE001,coastal,2025-07,2025,7,46.59,40.0,6.59,116.5
Mombasa,KE001,coastal,2025-08,2025,8,42.68,40.0,2.68,106.7
Mombasa,KE001,coastal,2025-09,2025,9,35.3,50.0,-14.7,70.6
Mombasa,KE001,coastal,2025-10,2025,10,118.97,110.0,8.97,108.2
Mombasa,KE001,coastal,2025-11,2025,11,155.12,140.0,15.12,110.8
Mombasa,KE001,coastal,2025-12,2025,12,57.82,80.0,-22.18,72.3
Mombasa,KE001,coastal,2026-01,2026,1,51.73,30.0,21.73,172.4
Mombasa,KE001,coastal,2026-02,2026,2,30.18,30.0,0.18,100.6
Kwale,KE002,coastal,2018-01,2018,1,18.47,30.0,-11.53,61.6
Kwale,KE002,coastal,2018-02,2018,2,38.62,30.0,8.62,128.7
Kwale,KE002,coastal,2018-03,2018,3,64.27,60.0,4.27,107.1
Kwale,KE002,coastal,2018-04,2018,4,156.77,180.0,-23.23,87.1
Kwale,KE002,coastal,2018-05,2018,5,106.62,160.0,-53.38,66.6
Kwale,KE002,coastal,2018-06,2018,6,54.61,80.0,-25.39,68.3
Kwale,KE002,coastal,2018-07,2018,7,36.68,40.0,-3.32,91.7
Kwale,KE002,coastal,2018-08,2018,8,43.43,40.0,3.43,108.6
Kwale,KE002,coastal,2018-09,2018,9,47.59,50.0,-2.41,95.2
Kwale,KE002,coastal,2018-10,2018,10,158.03,110.0,48.03,143.7
Kwale,KE002,coastal,2018-11,2018,11,149.27,140.0,9.27,106.6
Kwale,KE002,coastal,2018-12,2018,12,45.81,80.0,-34.19,57.3
