feature,importance
is_ASAL,0.2584128851734872
vim_lag_3,0.12348599440390809
vim_lag_2,0.09409504444601031
vim_lag_1,0.07922282389132854
vim,0.059114143494406406
maize_price_per_kg,0.054223723523916474
price_lag1,0.05327668020871906
r3h,0.046705877042663026
r3q_lag_3,0.0334501937471594
r1h,0.0285817997133537
r3q_lag_2,0.02224023225514702
r3q_lag_1,0.02014258154154962
r3q,0.020113357758548823
r1q_lag_1,0.017950786379485755
Fatalities_lag_1,0.017925413976676047
price_pct_change,0.01781288250112711
r1q,0.017577816276762172
Events_lag_1,0.013058453989462376
Events,0.011906517616575771
Fatalities,0.0107027920597131
