Month,County,risk_proba,risk_label,risk_pred_0_1,actual_in_Phase3+
2015-03-01,West Pokot,0.08647827857037918,Low,0,0
2015-03-01,Elgeyo-Marakwet,0.03958005420272019,Low,0,0
2015-04-01,Turkana,0.9374741730858606,High,1,1
2015-04-01,Wajir,0.9363728197482619,High,1,1
2015-04-01,Garissa,0.9211784124943911,High,1,1
2015-04-01,Isiolo,0.9003791944780889,High,1,1
2015-04-01,Marsabit,0.8796275249094799,High,1,1
2015-04-01,Mandera,0.8542358513375399,High,1,0
2015-04-01,Samburu,0.3935936220932959,Low,0,0
2015-04-01,Baringo,0.10536266483853358,Low,0,0
2015-04-01,Tana River,0.09302915914818694,Low,0,0
2015-04-01,Lamu,0.08813683623016377,Low,0,0
2015-05-01,Marsabit,0.9275167429894573,High,1,1
2015-05-01,Garissa,0.9263769513998167,High,1,1
2015-05-01,Isiolo,0.9120526897210682,High,1,1
2015-05-01,Wajir,0.9049347821561083,High,1,1
2015-05-01,Turkana,0.8882576914744127,High,1,1
2015-05-01,Mandera,0.7600540498679513,High,1,0
2015-05-01,Samburu,0.44482691235611427,Medium,0,0
2015-05-01,Baringo,0.3116829002263908,Low,0,0
2015-05-01,Tana River,0.1415697474043374,Low,0,0
2015-05-01,Lamu,0.10613395086548202,Low,0,0
2015-06-01,Isiolo,0.9529316650336451,High,1,1
2015-06-01,Marsabit,0.9060155970282967,High,1,1
2015-06-01,Wajir,0.8678590685029337,High,1,1
2015-06-01,Garissa,0.8496319595515854,High,1,1
2015-06-01,Turkana,0.829043544732332,High,1,1
2015-06-01,Mandera,0.5654636614672177,Medium,1,0
2015-06-01,Baringo,0.37102039813774235,Low,0,0
2015-06-01,Samburu,0.35645685422131707,Low,0,0
2015-06-01,Makueni,0.1587039533913013,Low,0,0
2015-06-01,Tana River,0.14173893883721064,Low,0,0
2015-07-01,Isiolo,0.8783178322581376,High,1,1
2015-07-01,Wajir,0.8508760491919756,High,1,1
2015-07-01,Turkana,0.7056549654981097,High,1,0
2015-07-01,Marsabit,0.6053738785280011,Medium,1,0
